,SiteID,CommonName,Year,GrowthRate,ResStatus,WinterStage,HostCategory,Hostplant_Specialism_Score,Voltinism,WingSize_meanFemale,Wetland,Disturbed
12625,2,Coral Hairstreak,2004,-0.253463090823549,2.0,1.0,3.0,3.0,1,1.7,0,0
12626,2,Coral Hairstreak,2005,0.37709601983897034,2.0,1.0,3.0,3.0,1,1.7,0,0
12627,2,Coral Hairstreak,2006,0.031804592218347416,2.0,1.0,3.0,3.0,1,1.7,0,0
48680,2,Tawny-edged Skipper,2008,0.1578253288165008,2.0,3.0,2.0,2.0,2,1.4,0,1
12628,2,Coral Hairstreak,2007,-0.019414340431865518,2.0,1.0,3.0,3.0,1,1.7,0,0
12630,2,Coral Hairstreak,2009,-0.7460379189945683,2.0,1.0,3.0,3.0,1,1.7,0,0
12631,2,Coral Hairstreak,2010,-0.2059097072420636,2.0,1.0,3.0,3.0,1,1.7,0,0
12632,2,Coral Hairstreak,2011,-0.027454723181160268,2.0,1.0,3.0,3.0,1,1.7,0,0
12633,2,Coral Hairstreak,2012,-0.15786078091667521,2.0,1.0,3.0,3.0,1,1.7,0,0
12634,2,Coral Hairstreak,2013,0.7061488501928759,2.0,1.0,3.0,3.0,1,1.7,0,0
12635,2,Coral Hairstreak,2014,-0.37720223788960694,2.0,1.0,3.0,3.0,1,1.7,0,0
12636,2,Coral Hairstreak,2015,0.12937954079144398,2.0,1.0,3.0,3.0,1,1.7,0,0
12637,2,Coral Hairstreak,2016,7.517336834216465,2.0,1.0,3.0,3.0,1,1.7,0,0
50000,2,Viceroy,2008,0.10527319633324983,2.0,2.0,3.0,3.0,3,3.8,1,1
50001,2,Viceroy,2009,-0.6485084858716742,2.0,2.0,3.0,3.0,3,3.8,1,1
12629,2,Coral Hairstreak,2008,2.5700665055875107,2.0,1.0,3.0,3.0,1,1.7,0,0
50002,2,Viceroy,2010,1.880990261359984,2.0,2.0,3.0,3.0,3,3.8,1,1
48681,2,Tawny-edged Skipper,2009,0.1256723951106462,2.0,3.0,2.0,2.0,2,1.4,0,1
48683,2,Tawny-edged Skipper,2011,-0.5294048284419307,2.0,3.0,2.0,2.0,2,1.4,0,1
34723,2,Northern Cloudywing,2009,-0.09281731369157875,2.0,2.0,1.0,3.0,1,2.0,0,0
34724,2,Northern Cloudywing,2010,-0.8333696349231228,2.0,2.0,1.0,3.0,1,2.0,0,0
34725,2,Northern Cloudywing,2011,0.2889328588304203,2.0,2.0,1.0,3.0,1,2.0,0,0
34726,2,Northern Cloudywing,2012,-0.02421324890516785,2.0,2.0,1.0,3.0,1,2.0,0,0
34727,2,Northern Cloudywing,2013,0.31913790911946904,2.0,2.0,1.0,3.0,1,2.0,0,0
34728,2,Northern Cloudywing,2014,-0.3844548127149814,2.0,2.0,1.0,3.0,1,2.0,0,0
34729,2,Northern Cloudywing,2015,0.1878308891866638,2.0,2.0,1.0,3.0,1,2.0,0,0
34730,2,Northern Cloudywing,2016,0.1535336502486937,2.0,2.0,1.0,3.0,1,2.0,0,0
49991,2,Viceroy,1999,-0.24198153258800947,2.0,2.0,3.0,3.0,3,3.8,1,1
49992,2,Viceroy,2000,0.23278405523318146,2.0,2.0,3.0,3.0,3,3.8,1,1
48682,2,Tawny-edged Skipper,2010,0.39798658174370405,2.0,3.0,2.0,2.0,2,1.4,0,1
49993,2,Viceroy,2001,-0.015393363213777822,2.0,2.0,3.0,3.0,3,3.8,1,1
49995,2,Viceroy,2003,0.11415632742253412,2.0,2.0,3.0,3.0,3,3.8,1,1
49996,2,Viceroy,2004,0.12865686697585876,2.0,2.0,3.0,3.0,3,3.8,1,1
49997,2,Viceroy,2005,0.44047874547762556,2.0,2.0,3.0,3.0,3,3.8,1,1
49998,2,Viceroy,2006,0.2660563103157221,2.0,2.0,3.0,3.0,3,3.8,1,1
49999,2,Viceroy,2007,-0.4945443281449967,2.0,2.0,3.0,3.0,3,3.8,1,1
48688,2,Tawny-edged Skipper,2016,-0.05260368490864675,2.0,3.0,2.0,2.0,2,1.4,0,1
48687,2,Tawny-edged Skipper,2015,-0.9669142511810376,2.0,3.0,2.0,2.0,2,1.4,0,1
48686,2,Tawny-edged Skipper,2014,19.15533997622266,2.0,3.0,2.0,2.0,2,1.4,0,1
48685,2,Tawny-edged Skipper,2013,-0.39464101843854793,2.0,3.0,2.0,2.0,2,1.4,0,1
48684,2,Tawny-edged Skipper,2012,1.764806148032711,2.0,3.0,2.0,2.0,2,1.4,0,1
49994,2,Viceroy,2002,-0.13089448416689609,2.0,2.0,3.0,3.0,3,3.8,1,1
3074,2,Azures,2010,-0.061747424712011334,2.0,3.0,3.0,4.0,3,1.42,0,1
50003,2,Viceroy,2011,-0.5976056059840447,2.0,2.0,3.0,3.0,3,3.8,1,1
50005,2,Viceroy,2013,-0.4161109511838559,2.0,2.0,3.0,3.0,3,3.8,1,1
52204,2,Zabulon Skipper,2003,-0.3421164455789766,2.0,2.0,2.0,3.0,2,1.6,0,0
52203,2,Zabulon Skipper,2002,1.2688331853703145,2.0,2.0,2.0,3.0,2,1.6,0,0
52202,2,Zabulon Skipper,2001,-0.7445951942812146,2.0,2.0,2.0,3.0,2,1.6,0,0
52201,2,Zabulon Skipper,2000,1.8908250248745726,2.0,2.0,2.0,3.0,2,1.6,0,0
52200,2,Zabulon Skipper,1999,0.08860723997981212,2.0,2.0,2.0,3.0,2,1.6,0,0
52199,2,Zabulon Skipper,1998,8.273376551540983,2.0,2.0,2.0,3.0,2,1.6,0,0
52198,2,Zabulon Skipper,1997,-0.45262157951355997,2.0,2.0,2.0,3.0,2,1.6,0,0
18548,2,Edwards' Hairstreak,2009,0.1852097441759022,2.0,1.0,3.0,2.0,1,1.5,0,0
18549,2,Edwards' Hairstreak,2010,-0.17638010537877202,2.0,1.0,3.0,2.0,1,1.5,0,0
18550,2,Edwards' Hairstreak,2011,-0.0038040817740249144,2.0,1.0,3.0,2.0,1,1.5,0,0
52205,2,Zabulon Skipper,2004,0.2268628428117605,2.0,2.0,2.0,3.0,2,1.6,0,0
3061,2,Azures,1997,-0.24704787487993263,2.0,3.0,3.0,4.0,3,1.42,0,1
3063,2,Azures,1999,4.227729673958176,2.0,3.0,3.0,4.0,3,1.42,0,1
3064,2,Azures,2000,-0.4081111684053649,2.0,3.0,3.0,4.0,3,1.42,0,1
3065,2,Azures,2001,-0.2972908800285401,2.0,3.0,3.0,4.0,3,1.42,0,1
3066,2,Azures,2002,0.47359882870464753,2.0,3.0,3.0,4.0,3,1.42,0,1
3067,2,Azures,2003,3.2150870848316426,2.0,3.0,3.0,4.0,3,1.42,0,1
3068,2,Azures,2004,-0.5096794975887835,2.0,3.0,3.0,4.0,3,1.42,0,1
3069,2,Azures,2005,-0.3354666031664536,2.0,3.0,3.0,4.0,3,1.42,0,1
3070,2,Azures,2006,-0.14459479304760148,2.0,3.0,3.0,4.0,3,1.42,0,1
3071,2,Azures,2007,-0.02711966525571352,2.0,3.0,3.0,4.0,3,1.42,0,1
3072,2,Azures,2008,2.2426070784472776,2.0,3.0,3.0,4.0,3,1.42,0,1
3062,2,Azures,1998,1.1008554330106106,2.0,3.0,3.0,4.0,3,1.42,0,1
50004,2,Viceroy,2012,-0.07667768395640762,2.0,2.0,3.0,3.0,3,3.8,1,1
52206,2,Zabulon Skipper,2005,-0.3129317597738197,2.0,2.0,2.0,3.0,2,1.6,0,0
35143,2,Northern Eyed Brown,2016,5.116271138991418,2.0,2.0,2.0,2.0,1,2.4,1,0
50006,2,Viceroy,2014,-0.11380107364872993,2.0,2.0,3.0,3.0,3,3.8,1,1
50007,2,Viceroy,2015,0.40865131230563034,2.0,2.0,3.0,3.0,3,3.8,1,1
50008,2,Viceroy,2016,-0.3145362896284375,2.0,2.0,3.0,3.0,3,3.8,1,1
35124,2,Northern Eyed Brown,1997,-0.05744881848492778,2.0,2.0,2.0,2.0,1,2.4,1,0
35125,2,Northern Eyed Brown,1998,0.8397594524060661,2.0,2.0,2.0,2.0,1,2.4,1,0
35126,2,Northern Eyed Brown,1999,-0.4895152298863663,2.0,2.0,2.0,2.0,1,2.4,1,0
35127,2,Northern Eyed Brown,2000,-0.1704516943550466,2.0,2.0,2.0,2.0,1,2.4,1,0
35128,2,Northern Eyed Brown,2001,0.923188514026936,2.0,2.0,2.0,2.0,1,2.4,1,0
35129,2,Northern Eyed Brown,2002,-0.4412378304426493,2.0,2.0,2.0,2.0,1,2.4,1,0
35130,2,Northern Eyed Brown,2003,1.3581646368026234,2.0,2.0,2.0,2.0,1,2.4,1,0
52207,2,Zabulon Skipper,2006,0.7249485519171424,2.0,2.0,2.0,3.0,2,1.6,0,0
35131,2,Northern Eyed Brown,2004,0.42002227683919835,2.0,2.0,2.0,2.0,1,2.4,1,0
35133,2,Northern Eyed Brown,2006,-0.38676093543763757,2.0,2.0,2.0,2.0,1,2.4,1,0
35134,2,Northern Eyed Brown,2007,0.3406189291911248,2.0,2.0,2.0,2.0,1,2.4,1,0
